165000	2006	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 120000	 левый	 Продам ВАЗ- 2111,  2006 года,  Отличное состояние,  Салон непрокуренный непрожженый,  седушки непродавленные,  чистый,  ухоженный салон! ! ! ! ! !  2- передних стеклоподъемника,  музыка МП3- CD- USB.  ремонт ходовки сделан неделю назад. Заменены задние стойки.  возможен ТОРГ у авто. звонить по этому номеру           8- 923- 701- 74- 46	 Новосибирск	11746920	03-08-2013	
175000	2004	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 170000	 левый	 16 клапанов, клапана не гнут, 4 стекло-подъёмника, подогрев передних сидений,  дополнительная печка солона, электро зеркала с подогревом, резина Pirelli. стоят поршня от 1.6 (124)	 Новосибирск	11076959	04-08-2013	
110000	2001	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 220000	 левый	 Смотреть на 6м микрорайоне. Небольшой торг у авто.	 Новосибирск	11786094	06-08-2013	
219000	2007	Лада	2111	 бензин, 1596 куб.см	 механика	 передний	null	 левый	 63 ПТс,  один хозяин, Цвет "золото инков", ГУР, передние электро- стеклоподъемники, литьё на 14, 16 клапанный мотор,  достойная музыка USB. мпз, есть не большие коцки на бамперах,  не битый ,  не крашеный и одного элемента ,  любая диагностика за ваш счет.	 Новосибирск	11786950	06-08-2013	
139000	2005	Лада	2111	 бензин	 механика	 передний	null	null	 хтс, стеклоподьемники, музыка с флешкой, ВОЗМОЖЕН ОБМЕН .сигнализация тамогавк с обратной связью	 Новосибирск	10418278	06-08-2013	
239000	2008	Лада	2111	 бензин, 1596 куб.см	 механика	 передний	 65000	 левый	 Автомобиль в отличном состоянии. Модель: Lada 211140. Двигатель: 21124,  16- ти клапанный (клапана не гнет),  89, 1 л/с. Пробег 65000км,  что в целом доказывает состояние автомобиля. Родной 63 птс. 	 Новосибирск	11788519	06-08-2013	
239000	2008	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 21680	 левый	 Продам автомобиль в отличном состоянии,  2008 год,  пробег 21680, объем 1.6, 16 клапанов, инжектор,  один хозяин,  исключительно гаражное хранение на протяжение всего срока пользования,  не участвовала в дтп (да же мелких),  обслуживалась только на официальном сервисе (имеется сервисная книжка),  сигнализация с обратной связью,  для получения более подробной информации звоните. Имеет место обоснованный торг.	 Новосибирск	11789610	06-08-2013	
145000	2002	Лада	2111	 бензин	 механика	 передний	null	 левый	 обмен .двиг.1.5-16кл. не гнет был сделан ремонт.литье на14.стеклоподъемники на 4двери.ц/з автозапуск.ходовка не брякает.гур.гнили нет.зашита двиготеля.то до мая.тонировка.подогрев передних сидений.машина на номерах.	 Новосибирск	11792902	06-08-2013	
158000	2005	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 82000	 левый	 Двигатель 8- ми кл. новая летняя резина(pirelli) + зимняя(Bridgestone). музыка,  эл. стеклоподъемники, сигнализация. реальный пробег. торг.	 Новосибирск	11794627	06-08-2013	
105000	2001	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 140000	 левый	 академгородок. в рабочем состоянии.	 Новосибирск	10365640	07-08-2013	
165000	2004	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 120000	 левый	 8 клапанный бензин+газ. подогрев 220в. подогрев зеркал. сигнализация с а/з и о/с. защита картера. soni mp3. бортовой компьютер. дистанционное открывание багажника. резина лето новая зима 2 сезона на штамповке. заменены стойки с опорными подшипниками,  рулевые тяги,  шаровые,  передние диски задние барабаны с колодками,  тросы ручника,  привода все. установлена дополнительная опора двигателя, распорка стоек, усилитель рулевой рейки. тех. осм до 21. 02. 2014 номера в подарок.торг .обмен на автомат с левым рулем	 Новосибирск	11800678	07-08-2013	
115000	2001	Лада	2111	 бензин	 механика	 передний	null	 левый	 отс	 Новосибирск	11808857	08-08-2013	
89000	2000	Лада	2111	 бензин	 механика	 передний	null	 левый	 Карбюратор,  CD,  МР3.	 Новосибирск	11432171	08-08-2013	
110000	2001	Лада	2111	 бензин	 механика	null	 100000	 левый	 автомобиль в хорошем состоянии,  без пробега по сельским дорогам,  торг . +комплект шипованой резины на дисках.	 Новосибирск	11814356	08-08-2013	
239999	2009	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 78000	 левый	 Сборка ВАЗ (Тольятти). Машина Новосибирская. 2- й хозяин. Состояние мат. части - ОТС. Новый аккумулятор, генератор, стартер, помпа, все ремни, тормозные диски. Масло в ДВС Neste. В коробке-синтетика. Обслуживание у дилера. Вложений долго не потребует. ГУР, европанель. Музыка JVC, МР3, USB. Сигнализация. Два комплекта резины- лето новые 2013г. Кама Бриз, зима Нокиа 4 на литье. 	 Новосибирск	11180538	09-08-2013	
127000	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 139000	 левый	 Цвет серебристо желто зеленый. Сигнализация с авто запуском и ос,  2 комплекта ключей,  хорошая музыка,  четыре стекло электро подъемника,  подогрев кресел ,  ухоженный чистый салон. Весной поставлены новые стойки пружины,  также новые тормозные колодки в круг с барабаноми с заменой тормозной жидкости ,  пару месяцев назад замена сцепления (kraft) подушки двигателя. Клапана не гнет. 	 Новосибирск	11823529	09-08-2013	
99999	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	 2002г. в. Родной ПТС. Цвет- снежная королева. Двигатель- 1500см(8клап). клапана не гнет. Коробка- не хрустит, скоростя не вылетают. Эл. стеклопод. Сигналка. Все работает. ХТС. СРОЧНО.	 Новосибирск	11827690	10-08-2013	
110000	1999	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 178218	 левый	 Продам ВАЗ 2111,  двигатель в отличном состоянии,  есть сигнализация с автозапуском и обратной связью. Центральный замок на все двери. Передние стеклоподъемники. Пробег реальный.торг.срочно.	 Новосибирск	10541376	11-08-2013	
127000	2000	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 105000	 левый	 Снял с учета	 Новосибирск	11772298	11-08-2013	
