210000	1992	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 Машина в хорошем техническом состоянии, ходовка меняна, трапеция, подшипники, жидкости, двигатель масло не жрёт! машина покупалась для себя, есть косячки по кузову не большие, в связи с отъездом срочная продажа. Перекупам просьба не беспокоить! ! ! ! резина новая. торг при осмотре.	 Новосибирск	11321688	20-06-2013	
50000	1991	Suzuki	Escudo	 бензин	 автомат	 4WD	null	 правый	null	 Новосибирск	10604805	26-04-2013	
460000	1999	Suzuki	Escudo	 бензин, 2500 куб.см	 автомат	 4WD	null	 правый	 Не битая,  ХТС,  торг уместен	 Новосибирск	11534441	11-07-2013	
945000	2009	Suzuki	Escudo	 бензин, 2400 куб.см	 автомат	 4WD	 42000	null	 Куплен на аукционе Японии в декабре 2010 г., ввезен в Россию в марте 2011 г. Аукцион 5 баллов. Бережная эксплуатация, гаражное хранение, ОТС. Заводская тонировка задних стекол, штатный ксенон фары+туманки. CD, MP3, саб, неплохое звучание, радио адаптировано. Сигнализация Pandora DXL 3300. Все интересующие вопросы по телефону...	 Новосибирск	8074401	06-04-2013	
210000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 механика	 4WD	 308100	 правый	 с.Венгерово Н.С.О Торг 18 и 19 августа машина будет в городе Новосибирск по адресу ул.Римского Корсокова №3	 Новосибирск	6646538	14-08-2012	
330000	1999	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 126000	 правый	 Машина покупалась с аукциона, трехдверная, состояние отличное. Гаражное хранение. летняя эксплуатация. Пробег по России 20 000 км. Своевременное плановое обслуживание. Обмен не предлагать. Срочная продажа. Хозяин уезжает в другой город.	 Новосибирск	11454763	03-07-2013	
200000	1992	Suzuki	Escudo	 1600 куб.см	 автомат	 4WD	null	 правый	 Цвет тёмно зелёный. Двигатель масло не ест,  коробка не пинается. Стоит шумо- и виброизоляция,  подкрыльники,  утеплена. 	 Новосибирск	11298929	18-06-2013	
285000	1995	Suzuki	Escudo	 дизель, 2000 куб.см	 автомат	 4WD	null	 правый	 Подготовлен для рыбалки,  охоты. Турбодизель. Торг.	 Новосибирск	11485659	06-07-2013	
755000	2007	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 61000	 правый	 Модель 2008 года. В РФ с осени 2008. Ввезен под полную пошлину. Аукцион 5А. 	 Новосибирск	9688410	01-02-2013	
160000	1995	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 После ДТП,  на ходу. Двигатель (Н20А),  рама,  ходовка - целые. Требуется кузовной ремонт.  В машине: CD,  DVD,  раздатка,  отключаемый передний привод,  ксенон,  литые диски R16,  сигнализация с о/с и а/з,  комплект зимней резины. Торг,  обмен.	 Новосибирск	11364826	24-06-2013	
200000	1995	Suzuki	Escudo	 дизель, 2000 куб.см	 автомат	 4WD	 320000	 правый	null	 Новосибирск	11442602	02-07-2013	
218000	1993	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 Движок не дымит работает тихо.	 Новосибирск	11226448	17-06-2013	
500000	2003	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 124000	 правый	 Японский вездеход на раме,  2003 г. Привод 2WD - 4 WD - 4 WD + пониженная,  140 л. с. Цвет - белый перламутр,  люксовый салон ,  полный электропакет,  в салоне ни кто не курил,  состояние салона идеальное. ХТС,  бережная эксплуатация. . Сигнализация с автозапуском,  оригинальное литье,  новый аккумулятор. В РФ с 2008г. ,  25 ПТС,  у машины было 2 хозяйки. Возможен обмен на тойоту RAV4 (коротыша)	 Новосибирск	11238184	11-06-2013	
769000	2007	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	8952266	18-10-2012	
450000	2000	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 99472	 правый	 Японский вездеход на раме. Привод 2WD - 4 WD - 4 WD + пониженная,  140 л. с. Цвет - белый,  салон велюр, чехлы,  полный электропакет. Двигатель J20 рядный. Расход 9- 11 л. ХТС,  бережная эксплуатация в машине не курили. С 4 WD проблем нет. Своевременное ТО. Сигнализация с автозапуском. В РФ с 2005 г ,  1 хозяин. Резина новая. 	 Новосибирск	11441376	08-07-2013	
