263000	1999	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	 Машина в ОТС,  автозапуск,  сигналка,  МP3,  зимняя резина Bridgstown в подарок. Все расходники менялись вовремя,  зимой не эксплуатировал,  салон велюр,  чистый не прокуренный. Двигатель 7А- FE простой,  масло не расходует. АКПП без нареканийй,  ходовка в порядке. Стойки новые. Машина находится в г. Карасуке,  все вопросы по телефону. При осмотре торг! ! ! ! ! рассмотрю обмен + доплата моя. фото можно посмотреть на karasuk.drom.ru/toyota/caldina/10798413	 Новосибирск	10830216	05-06-2013	
289000	2000	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	 194000	 правый	 XТС. Кузов ST-215. G-комплектация / Полный привод / АКПП	 Новосибирск	10811017	06-06-2013	
170000	1995	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	 290000	 правый	 Сигналка томогавк . Литье R15. Кап ремонт двигателя 7000 проехал.Косяки по кузову. Обме на Одиссей	 Новосибирск	10810390	07-06-2013	
285000	2001	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	 машина в хорошем состоянии двигатель масло не ест ,  ХОДОВКА отличная ,  кузов ровный. Возможен обмен на авто дешевле.На обмен цена 320000т.р	 Новосибирск	10743100	09-06-2013	
280000	1999	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 209000	 правый	 ОТС, 25 ПТС, ДВИГАТЕЛЬ 3S НЕ ДЫМИТ, АВТОМОБИЛЬ СНЯТ С УЧЕТА, ПОДРОБНОСТИ ПО ТЕЛЕФОНУ.	 Новосибирск	10665793	11-06-2013	
400000	2002	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	null	 правый	 ХТС, второй хозяин, сигнализация с автозапуском и обратной связью, коробка не пинает, двигатель масло не расходует, менялось каждые 6000 км.	 Новосибирск	10663657	10-06-2013	
215000	1996	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	 256000	 правый	 Полный электропакет,  климат контроль, эл. зеркала,  2 подушки безопасности,  магнитола с usb, на штамповке. ТОРГ. 	 Новосибирск	10651390	11-06-2013	
195000	1997	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 двигатель 3s, срочно, торг, 16 литье, цвет черно-серый, все работает	 Новосибирск	10649949	05-06-2013	
479999	2002	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 Максимальная комплектация. Родной птс,  1 хозяин,  по кузову ровная,  двигатель коробка отс,  салон чистый. Вложений не требует. Возможен обмен.	 Новосибирск	10499578	07-06-2013	
275000	2000	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 214000	 правый	null	 Новосибирск	10451031	08-06-2013	
159000	1993	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 170000	 правый	 черный металлик 93г 2л 4вд нормальное состояние кузова и салона.люк.мр3.сигнализ простая .	 Новосибирск	10444238	10-06-2013	
